"x"
"Characidium roesseli"
"Characidium schindleri"
"Characidium steindachneri"
"Characidium stigmosum"
"Characidium summus"
"Characidium wangyapoik"
"Characidium xanthopterum"
"Characidium xavante"
"Characidium zebra"
"Charax caudimaculatus"
"Charax condei"
"Charax delimai"
"Charax gibbosus"
"Charax hemigrammus"
"Charax leticiae"
"Charax macrolepis"
"Charax michaeli"
"Charax niger"
"Charax pauciradiatus"
"Charax rupununi"
"Charax tectifer"
"Chasmocranus longior"
"Chasmocranus peruanus"
"Chasmocranus quadrizonatus"
"Cheirocerus eques"
"Cheirocerus goeldii"
"Cheirodon luelingi"
"Cheirodon ortegai"
"Chilodus fritillus"
"Chilodus gracilis"
"Chilodus punctatus"
"Chrysobrycon eliasi"
"Chrysobrycon hesperus"
"Chrysobrycon mojicai"
"Chrysobrycon myersi"
"Chrysobrycon yoliae"
"Cichasoma amazonarum"
"Cichla intermedia"
"Cichla jariina"
"Cichla kelberi"
"Cichla melaniae"
"Cichla mirianae"
"Cichla monoculus"
"Cichla nigromaculata"
"Cichla ocellaris"
"Cichla orinocensis"
"Cichla pinima"
"Cichla piquiti"
"Cichla pleiozona"
"Cichla temensis"
"Cichla thyrorus"
"Cichla vazzoleri"
"Cichlasoma amazonarum"
"Cichlasoma araguaiense"
"Cichlasoma bimaculatum"
"Cichlasoma boliviense"
"Cichlasoma sanctifranciscense"
"Clupeacharax anchoveoides"
"Cnesterodon septentrionalis"
"Colomesus asellus"
"Colomesus tocantinensis"
"Colossoma macropomum"
"Compsaraia compsus"
"Compsaraia iara"
"Compsaraia samueli"
"Copeina guttata"
"Copeina osgoodi"
"Copella arnoldi"
"Copella compta"
"Copella meinkeni"
"Copella nattereri"
"Copella nigrofasciata"
"Copella vilmae"
"Cordylancistrus platyrhynchus"
"Corumbataia acanthodela"
"Corumbataia anosteos"
"Corumbataia canoeiro"
"Corumbataia tocantinensis"
"Corumbataia veadeiros"
"Corydoras acrensis"
"Corydoras acutus"
"Corydoras adolfoi"
"Corydoras aeneus"
"Corydoras agassizii"
"Corydoras albolineatus"
"Corydoras amandajanea"
"Corydoras ambiacus"
"Corydoras amphibelus"
"Corydoras apiaka"
"Corydoras araguaiaensis"
"Corydoras arcuatus"
"Corydoras armatus"
"Corydoras atropersonatus"
"Corydoras benattii"
"Corydoras bifasciatus"
"Corydoras bilineatus"
"Corydoras blochi"
"Corydoras bondi"
"Corydoras brittoi"
"Corydoras burgessi"
"Corydoras caudimaculatus"
"Corydoras cervinus"
"Corydoras cochui"
"Corydoras copei"
"Corydoras coriatae"
"Corydoras crimmeni"
"Corydoras cruziensis"
"Corydoras crypticus"
"Corydoras davidsandsi"
"Corydoras delphax"
"Corydoras desana"
"Corydoras duplicareus"
"Corydoras elegans"
"Corydoras eques"
"Corydoras evelynae"
"Corydoras eversi"
"Corydoras fowleri"
"Corydoras fulleri"
"Corydoras geryi"
"Corydoras gomezi"
"Corydoras gossei"
"Corydoras gracilis"
"Corydoras granti"
"Corydoras guapore"
"Corydoras haraldschultzi"
"Corydoras hastatus"
"Corydoras hephaestus"
"Corydoras imitator"
"Corydoras incolicana"
"Corydoras isbrueckeri"
"Corydoras julii"
"Corydoras kanei"
"Corydoras knaacki"
"Corydoras lamberti"
"Corydoras latus"
"Corydoras leopardus"
"Corydoras leucomelas"
"Corydoras loretoensis"
"Corydoras loxozonus"
"Corydoras maculifer"
"Corydoras mamore"
"Corydoras melanistius"
"Corydoras melanotaenia"
"Corydoras melini"
"Corydoras napoensis"
"Corydoras narcissus"
"Corydoras negro"
"Corydoras nijsseni"
"Corydoras noelkempffi"
"Corydoras ornatus"
"Corydoras orphnopterus"
"Corydoras ortegai"
"Corydoras ourastigma"
"Corydoras panda"
"Corydoras paragua"
"Corydoras parallelus"
"Corydoras pastazensis"
"Corydoras paucerna"
"Corydoras pavanelliae"
"Corydoras pinheiroi"
"Corydoras pulcher"
"Corydoras pygmaeus"
"Corydoras rabauti"
"Corydoras reticulatus"
"Corydoras reynoldsi"
"Corydoras rikbaktsa"
"Corydoras robineae"
"Corydoras robustus"
"Corydoras sarareensis"
"Corydoras schwartzi"
"Corydoras semiaquilus"
"Corydoras serratus"
"Corydoras seussi"
"Corydoras similis"
"Corydoras sodalis"
"Corydoras spectabilis"
"Corydoras splendens"
"Corydoras stenocephalus"
"Corydoras sterbai"
"Corydoras sychri"
"Corydoras trilineatus"
"Corydoras tukano"
"Corydoras urucu"
"Corydoras virginiae"
"Corydoras vittatus"
"Corydoras weitzmani"
"Corydoras xinguensis"
"Corydoras zawadzkii"
"Corydoras zygatus"
"Creagrutus amoenus"
"Creagrutus anary"
"Creagrutus andaki"
"Creagrutus atrisignum"
"Creagrutus barrigai"
"Creagrutus beni"
"Creagrutus britskii"
"Creagrutus cacique"
"Creagrutus cerritulus"
"Creagrutus changae"
"Creagrutus cochui"
"Creagrutus cracentis"
"Creagrutus ephippiatus"
"Creagrutus figueiredoi"
"Creagrutus flavescens"
"Creagrutus gephyrus"
"Creagrutus gracilis"
"Creagrutus holmi"
"Creagrutus ignotus"
"Creagrutus kunturus"
"Creagrutus manu"
"Creagrutus maxillaris"
"Creagrutus menezesi"
"Creagrutus molinus"
"Creagrutus mucipu"
"Creagrutus muelleri"
"Creagrutus nigrotaeniatus"
"Creagrutus occidaneus"
"Creagrutus ortegai"
